,threshold,tpr,fpr
0,0,1,1
1,0.05,0.9875186671,0.0682772941
2,0.1,0.9767691813,0.0517763294
3,0.15,0.9719883949,0.0439396569
4,0.2,0.9704734349,0.0399635127
5,0.25,0.9647555973,0.0391772122
6,0.3,0.9554963588,0.0356933692
7,0.35,0.9538019144,0.0380984484
8,0.4,0.9512651638,0.0278593148
9,0.45,0.9511633641,0.0193727446
10,0.5,0.9397254479,0.0191224475
11,0.55,0.9369392678,0.0232341347
12,0.6,0.9296325916,0.0267872567
13,0.65,0.9259713238,0.031797773
14,0.7,0.9344951926,0.0334227108
15,0.75,0.9307379949,0.0258824639
16,0.8,0.9015990221,0.019175834
17,0.85,0.8804598826,0.0147045499
18,0.9,0.8466312188,0.0149907775
19,0.95,0.7713787111,0.0100190803
20,1,1.2962291698777E-05,2.53208064716175E-06
